iteration;pheromone_exponent;length_exponent;evaporation_coefficient;pheromone_leaving_coefficient;total_distance;path;
96;1.3;1.25;0.5;1.5555555555555556;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
97;1.3;1.25;0.5;1.6666666666666665;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
98;1.3;1.25;0.5;1.7777777777777777;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
99;1.3;1.25;0.5;1.8888888888888888;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
100;1.3;1.25;0.5;2.0;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
101;1.3;1.5;0.0;1.0;5519.761193555026;[0, 24, 1, 12, 10, 2, 14, 22, 11, 8, 19, 18, 15, 23, 17, 6, 20, 5, 13, 4, 9, 16, 21, 7, 3, 0];
102;1.3;1.5;0.0;1.1111111111111112;5328.947142474611;[0, 10, 12, 1, 20, 5, 13, 4, 22, 14, 2, 21, 9, 16, 7, 8, 19, 18, 11, 24, 15, 17, 23, 6, 3, 0];
103;1.3;1.5;0.0;1.2222222222222223;5457.72121394715;[0, 24, 3, 15, 8, 19, 18, 13, 5, 11, 4, 22, 14, 7, 12, 1, 20, 23, 17, 6, 10, 16, 2, 9, 21, 0];
104;1.3;1.5;0.0;1.3333333333333333;5438.582557229829;[0, 24, 13, 11, 14, 21, 2, 9, 16, 7, 10, 1, 12, 20, 23, 17, 15, 6, 3, 4, 18, 19, 8, 5, 22, 0];
105;1.3;1.5;0.0;1.4444444444444444;5189.394057746362;[0, 5, 13, 4, 11, 10, 1, 9, 16, 7, 2, 21, 14, 22, 12, 20, 6, 17, 23, 15, 8, 19, 18, 3, 24, 0];
106;1.3;1.5;0.0;1.5555555555555556;4835.974071435265;[0, 6, 23, 17, 15, 3, 12, 1, 20, 8, 19, 18, 5, 13, 4, 11, 2, 21, 14, 22, 16, 9, 7, 10, 24, 0];
107;1.3;1.5;0.0;1.6666666666666665;5489.941953395984;[0, 10, 12, 1, 7, 21, 14, 11, 2, 9, 16, 22, 19, 8, 18, 4, 13, 5, 17, 23, 6, 15, 24, 3, 20, 0];
108;1.3;1.5;0.0;1.7777777777777777;5657.691321152263;[0, 3, 6, 17, 23, 15, 4, 18, 19, 8, 11, 14, 2, 9, 16, 21, 10, 12, 1, 7, 22, 13, 5, 24, 20, 0];
109;1.3;1.5;0.0;1.8888888888888888;5483.388858279211;[0, 18, 8, 19, 5, 13, 14, 2, 21, 16, 9, 10, 12, 3, 24, 1, 22, 11, 4, 7, 20, 6, 17, 23, 15, 0];
110;1.3;1.5;0.0;2.0;5149.907205508468;[0, 4, 13, 8, 18, 19, 5, 11, 14, 22, 21, 2, 9, 16, 12, 1, 7, 10, 15, 23, 17, 6, 24, 3, 20, 0];
111;1.3;1.5;0.125;1.0;5270.47623382974;[0, 3, 20, 15, 23, 17, 6, 24, 14, 2, 21, 16, 9, 11, 22, 7, 1, 12, 10, 4, 13, 5, 8, 19, 18, 0];
112;1.3;1.5;0.125;1.1111111111111112;5273.621037960102;[0, 1, 12, 14, 22, 11, 4, 13, 5, 19, 8, 18, 24, 15, 3, 23, 17, 6, 20, 10, 7, 2, 21, 9, 16, 0];
113;1.3;1.5;0.125;1.2222222222222223;5254.456735561513;[0, 6, 19, 18, 8, 11, 21, 9, 16, 7, 2, 14, 22, 13, 4, 5, 15, 23, 17, 24, 10, 1, 12, 20, 3, 0];
114;1.3;1.5;0.125;1.3333333333333333;5268.8918884990935;[0, 13, 19, 8, 18, 5, 24, 17, 15, 23, 6, 20, 12, 3, 7, 21, 9, 16, 2, 14, 22, 11, 4, 10, 1, 0];
115;1.3;1.5;0.125;1.4444444444444444;5284.415105518634;[0, 13, 4, 5, 18, 8, 19, 15, 3, 12, 1, 10, 7, 16, 9, 14, 2, 22, 11, 21, 20, 24, 17, 23, 6, 0];
116;1.3;1.5;0.125;1.5555555555555556;5329.003941020766;[0, 19, 8, 18, 5, 15, 23, 17, 6, 24, 3, 12, 1, 11, 4, 13, 22, 14, 2, 21, 16, 9, 20, 10, 7, 0];
117;1.3;1.5;0.125;1.6666666666666665;5558.181680807382;[0, 3, 14, 22, 11, 4, 13, 5, 18, 19, 8, 24, 15, 17, 23, 6, 20, 10, 7, 16, 9, 2, 1, 12, 21, 0];
118;1.3;1.5;0.125;1.7777777777777777;5526.576578498882;[0, 4, 22, 14, 2, 21, 18, 8, 19, 5, 15, 17, 23, 6, 20, 1, 3, 24, 10, 12, 7, 16, 9, 11, 13, 0];
119;1.3;1.5;0.125;1.8888888888888888;5009.827443717879;[0, 24, 3, 6, 17, 23, 15, 20, 12, 1, 10, 21, 2, 14, 22, 11, 4, 13, 5, 18, 19, 8, 7, 16, 9, 0];
120;1.3;1.5;0.125;2.0;4685.215947569431;[0, 24, 3, 12, 1, 9, 16, 7, 10, 21, 2, 22, 14, 4, 11, 13, 5, 19, 8, 18, 15, 23, 17, 6, 20, 0];
121;1.3;1.5;0.25;1.0;3917.0153385310336;[0, 24, 3, 12, 1, 7, 16, 9, 21, 2, 14, 22, 11, 4, 13, 5, 19, 8, 18, 15, 17, 23, 6, 20, 10, 0];
122;1.3;1.5;0.25;1.1111111111111112;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
123;1.3;1.5;0.25;1.2222222222222223;3700.6765953180543;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 18, 8, 19, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
124;1.3;1.5;0.25;1.3333333333333333;4007.4915692548625;[0, 24, 3, 10, 7, 16, 9, 21, 2, 14, 22, 11, 4, 13, 5, 18, 19, 8, 15, 23, 17, 6, 1, 12, 20, 0];
125;1.3;1.5;0.25;1.4444444444444444;3554.476523057485;[0, 24, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 3, 0];
126;1.3;1.5;0.25;1.5555555555555556;3649.004659965293;[0, 24, 3, 12, 1, 20, 6, 23, 17, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
127;1.3;1.5;0.25;1.6666666666666665;3696.880500475342;[0, 24, 3, 20, 1, 12, 10, 7, 9, 16, 21, 2, 14, 22, 11, 4, 13, 5, 18, 19, 8, 15, 23, 17, 6, 0];
128;1.3;1.5;0.25;1.7777777777777777;3720.653420450162;[0, 24, 23, 17, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 6, 3, 0];
129;1.3;1.5;0.25;1.8888888888888888;3552.58059718021;[0, 24, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 3, 0];
130;1.3;1.5;0.25;2.0;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
131;1.3;1.5;0.375;1.0;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
132;1.3;1.5;0.375;1.1111111111111112;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
133;1.3;1.5;0.375;1.2222222222222223;3654.907019382915;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
134;1.3;1.5;0.375;1.3333333333333333;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
135;1.3;1.5;0.375;1.4444444444444444;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
136;1.3;1.5;0.375;1.5555555555555556;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
137;1.3;1.5;0.375;1.6666666666666665;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
138;1.3;1.5;0.375;1.7777777777777777;3654.907019382915;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
139;1.3;1.5;0.375;1.8888888888888888;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
140;1.3;1.5;0.375;2.0;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
141;1.3;1.5;0.5;1.0;3670.5215326934936;[0, 24, 3, 10, 7, 16, 9, 21, 2, 14, 22, 11, 4, 13, 5, 18, 19, 8, 15, 23, 17, 6, 20, 1, 12, 0];
142;1.3;1.5;0.5;1.1111111111111112;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
143;1.3;1.5;0.5;1.2222222222222223;3642.8853935851207;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 18, 8, 19, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
144;1.3;1.5;0.5;1.3333333333333333;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
145;1.3;1.5;0.5;1.4444444444444444;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
146;1.3;1.5;0.5;1.5555555555555556;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
147;1.3;1.5;0.5;1.6666666666666665;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
148;1.3;1.5;0.5;1.7777777777777777;3622.4489891246517;[0, 24, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 3, 0];
149;1.3;1.5;0.5;1.8888888888888888;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
150;1.3;1.5;0.5;2.0;3622.4489891246517;[0, 24, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 3, 0];
151;1.3;1.75;0.0;1.0;4842.051306595759;[0, 15, 18, 19, 8, 5, 4, 11, 13, 7, 9, 16, 21, 2, 22, 14, 10, 12, 1, 3, 24, 20, 6, 23, 17, 0];
152;1.3;1.75;0.0;1.1111111111111112;5123.0775346256805;[0, 24, 16, 9, 21, 2, 11, 7, 10, 3, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 22, 14, 1, 12, 20, 0];
153;1.3;1.75;0.0;1.2222222222222223;4931.284391239376;[0, 24, 6, 15, 17, 23, 18, 19, 8, 11, 4, 22, 13, 5, 14, 21, 2, 9, 16, 7, 10, 1, 12, 20, 3, 0];
154;1.3;1.75;0.0;1.3333333333333333;5001.081375733382;[0, 3, 1, 10, 12, 20, 6, 23, 17, 15, 18, 8, 19, 5, 14, 22, 11, 4, 13, 2, 21, 9, 7, 16, 24, 0];
155;1.3;1.75;0.0;1.4444444444444444;4896.601569006673;[0, 10, 1, 12, 3, 24, 17, 23, 18, 8, 19, 5, 11, 4, 13, 14, 22, 2, 9, 21, 16, 7, 20, 6, 15, 0];
156;1.3;1.75;0.0;1.5555555555555556;5352.972737390709;[0, 23, 17, 15, 24, 3, 6, 20, 12, 18, 19, 8, 4, 13, 5, 11, 7, 16, 9, 2, 21, 14, 22, 1, 10, 0];
157;1.3;1.75;0.0;1.6666666666666665;4925.326944206645;[0, 5, 13, 4, 11, 18, 8, 19, 15, 24, 17, 23, 6, 12, 1, 20, 3, 10, 14, 22, 2, 9, 21, 16, 7, 0];
158;1.3;1.75;0.0;1.7777777777777777;4980.549525071759;[0, 13, 5, 4, 11, 14, 22, 9, 16, 21, 2, 7, 12, 1, 10, 17, 23, 15, 8, 19, 18, 24, 3, 6, 20, 0];
159;1.3;1.75;0.0;1.8888888888888888;4803.88062585782;[0, 24, 6, 17, 23, 15, 3, 10, 14, 22, 11, 2, 21, 9, 16, 7, 1, 20, 12, 4, 13, 5, 8, 19, 18, 0];
160;1.3;1.75;0.0;2.0;4721.86824399506;[0, 3, 12, 1, 20, 7, 16, 9, 21, 2, 14, 22, 19, 8, 18, 5, 13, 4, 11, 15, 17, 23, 6, 24, 10, 0];
161;1.3;1.75;0.125;1.0;4959.6890715185045;[0, 23, 17, 6, 24, 19, 8, 18, 5, 13, 4, 11, 22, 14, 7, 16, 9, 2, 21, 12, 10, 20, 1, 3, 15, 0];
162;1.3;1.75;0.125;1.1111111111111112;5053.489690207148;[0, 24, 3, 10, 20, 23, 17, 15, 6, 12, 7, 1, 2, 21, 16, 9, 14, 22, 11, 4, 13, 5, 8, 19, 18, 0];
163;1.3;1.75;0.125;1.2222222222222223;5150.2918741873855;[0, 3, 11, 13, 5, 8, 19, 18, 4, 21, 2, 14, 22, 9, 16, 7, 6, 17, 23, 15, 24, 10, 12, 1, 20, 0];
164;1.3;1.75;0.125;1.3333333333333333;4713.5107414973445;[0, 19, 8, 18, 4, 11, 5, 13, 21, 16, 9, 2, 14, 22, 10, 3, 12, 7, 1, 20, 6, 17, 23, 15, 24, 0];
165;1.3;1.75;0.125;1.4444444444444444;5025.608474638693;[0, 12, 10, 7, 9, 21, 16, 22, 14, 4, 11, 2, 5, 13, 18, 8, 19, 15, 23, 17, 6, 24, 3, 20, 1, 0];
166;1.3;1.75;0.125;1.5555555555555556;5224.710101598017;[0, 24, 11, 18, 8, 19, 15, 23, 17, 6, 3, 10, 5, 13, 4, 22, 14, 2, 21, 9, 16, 12, 1, 20, 7, 0];
167;1.3;1.75;0.125;1.6666666666666665;4769.734573875539;[0, 24, 15, 17, 8, 19, 18, 5, 13, 11, 4, 14, 22, 2, 16, 21, 9, 7, 10, 3, 12, 1, 20, 23, 6, 0];
168;1.3;1.75;0.125;1.7777777777777777;4870.324210905874;[0, 3, 6, 23, 17, 15, 18, 19, 8, 5, 13, 4, 11, 22, 14, 2, 7, 10, 12, 1, 20, 24, 16, 9, 21, 0];
169;1.3;1.75;0.125;1.8888888888888888;4812.033778410505;[0, 24, 3, 12, 1, 10, 14, 2, 21, 9, 16, 7, 22, 11, 18, 19, 8, 4, 5, 13, 15, 17, 23, 6, 20, 0];
170;1.3;1.75;0.125;2.0;4437.914405416957;[0, 12, 10, 7, 16, 9, 21, 2, 14, 22, 11, 4, 1, 20, 3, 24, 6, 17, 23, 15, 19, 8, 18, 5, 13, 0];
171;1.3;1.75;0.25;1.0;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
172;1.3;1.75;0.25;1.1111111111111112;3610.3717989131437;[0, 24, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 12, 1, 20, 3, 0];
173;1.3;1.75;0.25;1.2222222222222223;3702.7149753732288;[0, 24, 3, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 0];
174;1.3;1.75;0.25;1.3333333333333333;3554.476523057485;[0, 24, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 3, 0];
175;1.3;1.75;0.25;1.4444444444444444;3624.3449150019264;[0, 24, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 6, 3, 0];
176;1.3;1.75;0.25;1.5555555555555556;3702.7149753732288;[0, 24, 3, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 0];
177;1.3;1.75;0.25;1.6666666666666665;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
178;1.3;1.75;0.25;1.7777777777777777;3654.907019382915;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
179;1.3;1.75;0.25;1.8888888888888888;3698.776426352617;[0, 24, 3, 20, 1, 12, 10, 7, 9, 16, 21, 2, 14, 22, 11, 4, 13, 5, 18, 8, 19, 15, 23, 17, 6, 0];
180;1.3;1.75;0.25;2.0;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
181;1.3;1.75;0.375;1.0;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
182;1.3;1.75;0.375;1.1111111111111112;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
183;1.3;1.75;0.375;1.2222222222222223;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
184;1.3;1.75;0.375;1.3333333333333333;3732.75608934982;[0, 24, 3, 10, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 0];
185;1.3;1.75;0.375;1.4444444444444444;3597.1158176499816;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 19, 8, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
186;1.3;1.75;0.375;1.5555555555555556;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
187;1.3;1.75;0.375;1.6666666666666665;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
188;1.3;1.75;0.375;1.7777777777777777;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
189;1.3;1.75;0.375;1.8888888888888888;3600.246098992624;[0, 24, 6, 17, 23, 15, 18, 8, 19, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 12, 1, 20, 3, 0];
190;1.3;1.75;0.375;2.0;3653.01109350564;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 16, 9, 7, 10, 0];
191;1.3;1.75;0.5;1.0;3595.219891772706;[0, 24, 3, 12, 1, 20, 6, 17, 23, 15, 8, 19, 18, 5, 13, 4, 11, 22, 14, 2, 21, 9, 16, 7, 10, 0];
